cohort_id,time_id,covariate_id,mean,sd,database_id
23,5,438557701,0.0943,0.3073,CMSDESynPUF1k
23,5,4245252701,0.0273,0.1652,CMSDESynPUF1k
23,5,320536701,0.0557,0.2361,CMSDESynPUF1k
23,1,4009585701,0.0091,0.0954,CMSDESynPUF1k
23,5,441692701,0.0102,0.1012,CMSDESynPUF1k
23,2,438557701,0.0102,0.1012,CMSDESynPUF1k
23,5,40482801701,0.0864,0.294,CMSDESynPUF1k
23,4,441968701,0.0091,0.0954,CMSDESynPUF1k
23,5,437677701,0.0432,0.2079,CMSDESynPUF1k
23,5,433033701,-0.0057,NA,CMSDESynPUF1k
22,5,2617206701,-0.1923,NA,CMSDESynPUF1k
23,1,4046263701,0.017,0.1306,CMSDESynPUF1k
23,1,437982701,-0.0057,NA,CMSDESynPUF1k
22,1,2617225701,-0.1923,NA,CMSDESynPUF1k
23,5,4060259701,-0.0057,NA,CMSDESynPUF1k
23,5,4013526701,0.0102,0.1012,CMSDESynPUF1k
23,5,2617241701,-0.0057,NA,CMSDESynPUF1k
23,5,443715701,-0.0057,NA,CMSDESynPUF1k
23,2,2720510701,-0.0057,NA,CMSDESynPUF1k
23,5,435086701,-0.0057,NA,CMSDESynPUF1k
22,5,440216701,-0.1923,NA,CMSDESynPUF1k
22,5,4060985701,-0.1923,NA,CMSDESynPUF1k
23,5,439937701,-0.0057,NA,CMSDESynPUF1k
23,5,40484102701,-0.0057,NA,CMSDESynPUF1k
23,1,40484102701,-0.0057,NA,CMSDESynPUF1k
23,1,443571701,-0.0057,NA,CMSDESynPUF1k
23,4,4060985701,-0.0057,NA,CMSDESynPUF1k
23,3,40482701701,-0.0057,NA,CMSDESynPUF1k
23,2,40484648701,-0.0057,NA,CMSDESynPUF1k
23,5,435775701,-0.0057,NA,CMSDESynPUF1k
23,1,435935701,-0.0057,NA,CMSDESynPUF1k
22,1,320536701,-0.1923,NA,CMSDESynPUF1k
22,5,4258831701,-0.1923,NA,CMSDESynPUF1k
23,5,4010838701,-0.0057,NA,CMSDESynPUF1k
23,5,444125701,-0.0057,NA,CMSDESynPUF1k
23,1,2720510701,-0.0057,NA,CMSDESynPUF1k
23,3,4046263701,-0.0057,NA,CMSDESynPUF1k
22,5,79936701,-0.1923,NA,CMSDESynPUF1k
22,5,137989701,-0.1923,NA,CMSDESynPUF1k
22,2,436230701,-0.1923,NA,CMSDESynPUF1k
23,5,4258677701,0.0102,0.1012,CMSDESynPUF1k
23,1,434169701,0.0341,0.1847,CMSDESynPUF1k
23,5,441968701,0.0375,0.1938,CMSDESynPUF1k
23,1,320536701,0.0602,0.2456,CMSDESynPUF1k
23,1,434170701,-0.0057,NA,CMSDESynPUF1k
23,5,4060985701,0.0273,0.1652,CMSDESynPUF1k
23,2,439141701,-0.0057,NA,CMSDESynPUF1k
23,1,4199173701,-0.0057,NA,CMSDESynPUF1k
23,1,135030701,-0.0057,NA,CMSDESynPUF1k
23,5,40480893701,-0.0057,NA,CMSDESynPUF1k
23,5,40660437701,0.0136,0.1168,CMSDESynPUF1k
23,2,436230701,0.0102,0.1012,CMSDESynPUF1k
23,1,436231701,-0.0057,NA,CMSDESynPUF1k
23,4,434164701,-0.0057,NA,CMSDESynPUF1k
23,5,4194160701,-0.0057,NA,CMSDESynPUF1k
23,5,320074701,-0.0057,NA,CMSDESynPUF1k
23,4,438878701,-0.0057,NA,CMSDESynPUF1k
23,4,437677701,0.0068,0.0826,CMSDESynPUF1k
23,5,4258831701,0.0125,0.1119,CMSDESynPUF1k
23,4,4034850701,-0.0057,NA,CMSDESynPUF1k
23,1,40484648701,0.0125,0.1119,CMSDESynPUF1k
23,4,437525701,-0.0057,NA,CMSDESynPUF1k
23,4,444118701,-0.0057,NA,CMSDESynPUF1k
23,1,4237017701,0.0102,0.1012,CMSDESynPUF1k
23,1,4166231701,0.0114,0.1067,CMSDESynPUF1k
23,1,75365701,-0.0057,NA,CMSDESynPUF1k
23,5,79936701,-0.0057,NA,CMSDESynPUF1k
23,2,4166231701,-0.0057,NA,CMSDESynPUF1k
22,1,442282701,-0.1923,NA,CMSDESynPUF1k
23,1,433596701,0.0125,0.1119,CMSDESynPUF1k
23,5,4104132701,-0.0057,NA,CMSDESynPUF1k
22,1,435928701,-0.1923,NA,CMSDESynPUF1k
23,5,435651701,-0.0057,NA,CMSDESynPUF1k
23,1,134315701,0.0091,0.0954,CMSDESynPUF1k
23,4,40482701701,-0.0057,NA,CMSDESynPUF1k
22,1,435080701,-0.1923,NA,CMSDESynPUF1k
23,1,314617701,-0.0057,NA,CMSDESynPUF1k
23,5,435372701,-0.0057,NA,CMSDESynPUF1k
23,5,437992701,0.008,0.0892,CMSDESynPUF1k
23,2,433596701,-0.0057,NA,CMSDESynPUF1k
23,1,2720583701,-0.0057,NA,CMSDESynPUF1k
23,3,433033701,-0.0057,NA,CMSDESynPUF1k
23,2,4060266701,-0.0057,NA,CMSDESynPUF1k
22,5,4046263701,-0.1923,NA,CMSDESynPUF1k
23,2,135030701,-0.0057,NA,CMSDESynPUF1k
23,2,4195512701,-0.0057,NA,CMSDESynPUF1k
23,2,443698701,-0.0057,NA,CMSDESynPUF1k
23,5,434164701,0.0534,0.2312,CMSDESynPUF1k
23,1,4034850701,0.0432,0.2079,CMSDESynPUF1k
23,1,2617406701,0.0182,0.1349,CMSDESynPUF1k
23,4,4258677701,-0.0057,NA,CMSDESynPUF1k
23,5,4092896701,0.017,0.1306,CMSDESynPUF1k
23,5,4094911701,-0.0057,NA,CMSDESynPUF1k
23,5,2617384701,-0.0057,NA,CMSDESynPUF1k
23,1,439154701,-0.0057,NA,CMSDESynPUF1k
23,3,40482801701,0.008,0.0892,CMSDESynPUF1k
23,4,435928701,0.0102,0.1012,CMSDESynPUF1k
23,2,40482801701,0.0136,0.1168,CMSDESynPUF1k
23,2,433173701,-0.0057,NA,CMSDESynPUF1k
23,5,4208622701,-0.0057,NA,CMSDESynPUF1k
23,5,439141701,-0.0057,NA,CMSDESynPUF1k
23,5,4091110701,-0.0057,NA,CMSDESynPUF1k
23,3,438262701,-0.0057,NA,CMSDESynPUF1k
23,1,439937701,-0.0057,NA,CMSDESynPUF1k
23,1,4013526701,-0.0057,NA,CMSDESynPUF1k
23,1,4098179701,0.0068,0.0826,CMSDESynPUF1k
