covariate_id,covariate_name,analysis_id,concept_id
1901,Charlson index - Romano adaptation,901,0
21600933412,drug_era group during day -30 through 0 days relative to index: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,412,21600933
21604765412,drug_era group during day -30 through 0 days relative to index: Xanthine derivatives,412,21604765
21602869412,drug_era group during day -30 through 0 days relative to index: First-generation cephalosporins,412,21602869
769935412,drug_era group during day -30 through 0 days relative to index: Sodium Oxybate,412,769935
21603396412,drug_era group during day -30 through 0 days relative to index: Opium alkaloids and derivatives,412,21603396
750982412,drug_era group during day -30 through 0 days relative to index: Bupropion,412,750982
941258412,drug_era group during day -30 through 0 days relative to index: Docusate,412,941258
40172000412,drug_era group during day -30 through 0 days relative to index: brussels sprout allergenic extract,412,40172000
40161953412,drug_era group during day -30 through 0 days relative to index: poverty weed pollen extract,412,40161953
21601974412,drug_era group during day -30 through 0 days relative to index: Carbamide products,412,21601974
1310149412,drug_era group during day -30 through 0 days relative to index: Warfarin,412,1310149
1000772412,drug_era group during day -30 through 0 days relative to index: Granisetron,412,1000772
19003999412,drug_era group during day -30 through 0 days relative to index: mycophenolate mofetil,412,19003999
523212412,drug_era group during day -30 through 0 days relative to index: Rubella Virus Vaccine Live (Wistar RA 27-3 Strain),412,523212
1598658412,drug_era group during day -30 through 0 days relative to index: Clofibrate,412,1598658
21602219412,drug_era group during day -30 through 0 days relative to index: Iodine products,412,21602219
19026450412,drug_era group during day -30 through 0 days relative to index: anidulafungin,412,19026450
40226650412,drug_era group during day -30 through 0 days relative to index: licorice allergenic extract,412,40226650
21600033412,drug_era group during day -30 through 0 days relative to index: Corticosteroids for local oral treatment,412,21600033
21603991412,drug_era group during day -30 through 0 days relative to index: Coxibs,412,21603991
21603126412,drug_era group during day -30 through 0 days relative to index: ANTIVIRALS FOR SYSTEMIC USE,412,21603126
21600788412,"drug_era group during day -30 through 0 days relative to index: Other blood glucose lowering drugs, excl. insulins",412,21600788
21603530412,drug_era group during day -30 through 0 days relative to index: OTHER RESPIRATORY SYSTEM PRODUCTS,412,21603530
1705674412,drug_era group during day -30 through 0 days relative to index: Trimethoprim,412,1705674
1436776412,drug_era group during day -30 through 0 days relative to index: Testolactone,412,1436776
21604147412,drug_era group during day -30 through 0 days relative to index: DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,412,21604147
836208412,drug_era group during day -30 through 0 days relative to index: Succinylcholine,412,836208
1790812412,drug_era group during day -30 through 0 days relative to index: Chlorhexidine,412,1790812
1000632412,drug_era group during day -30 through 0 days relative to index: Clotrimazole,412,1000632
713109412,drug_era group during day -30 through 0 days relative to index: Amoxapine,412,713109
21604286412,drug_era group during day -30 through 0 days relative to index: Oripavine derivatives,412,21604286
742267412,drug_era group during day -30 through 0 days relative to index: topiramate,412,742267
21603302412,drug_era group during day -30 through 0 days relative to index: ADRENERGICS FOR SYSTEMIC USE,412,21603302
21603616412,drug_era group during day -30 through 0 days relative to index: ANTIINFLAMMATORY AGENTS,412,21603616
40162187412,drug_era group during day -30 through 0 days relative to index: tobacco leaf allergenic extract,412,40162187
21604036412,"drug_era group during day -30 through 0 days relative to index: Antiinflammatory preparations, non-steroids for topical use",412,21604036
700299412,drug_era group during day -30 through 0 days relative to index: Thioridazine,412,700299
21605007412,drug_era group during day -30 through 0 days relative to index: RESPIRATORY SYSTEM,412,21605007
21601538412,drug_era group during day -30 through 0 days relative to index: Other potassium-sparing agents,412,21601538
21601532412,drug_era group during day -30 through 0 days relative to index: POTASSIUM-SPARING AGENTS,412,21601532
21601516412,drug_era group during day -30 through 0 days relative to index: HIGH-CEILING DIURETICS,412,21601516
40161256412,drug_era group during day -30 through 0 days relative to index: Johnson grass pollen extract,412,40161256
1531601412,"drug_era group during day -30 through 0 days relative to index: Insulin, Aspart Protamine, Human",412,1531601
738156412,drug_era group during day -30 through 0 days relative to index: Doxepin,412,738156
1135766412,drug_era group during day -30 through 0 days relative to index: Phenylephrine,412,1135766
1307046412,drug_era group during day -30 through 0 days relative to index: Metoprolol,412,1307046
21600191412,"drug_era group during day -30 through 0 days relative to index: Belladonna alkaloids, tertiary amines",412,21600191
1560171412,drug_era group during day -30 through 0 days relative to index: Glipizide,412,1560171
1137460412,drug_era group during day -30 through 0 days relative to index: Salsalate,412,1137460
21600643412,drug_era group during day -30 through 0 days relative to index: Antipropulsives,412,21600643
21601078412,drug_era group during day -30 through 0 days relative to index: IRON PREPARATIONS,412,21601078
21603548412,drug_era group during day -30 through 0 days relative to index: Other respiratory system products,412,21603548
40161754412,drug_era group during day -30 through 0 days relative to index: domestic goat skin extract,412,40161754
1149196412,drug_era group during day -30 through 0 days relative to index: Cetirizine,412,1149196
19058896412,drug_era group during day -30 through 0 days relative to index: calcium lactate,412,19058896
